configuration_accession,modality,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,stage,reason,message
IGVFFI4918IRAY,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS1048UDZS,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_RNA_day18_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI4962CLEZ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS6768XIMR,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well1G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI4996LDSQ,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2172PVLM,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_RNA_day8_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI5009VJYC,,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS9237YADU,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI5009VJYC/@@download/IGVFFI5009VJYC.yaml.gz
IGVFFI5033PBUY,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2655XLWQ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well3E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI5050KHYP,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS3958ZVDP,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day6_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI5103ARWG,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2236AYJF,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day21_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI5104VOIW,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7054EQRX,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well2D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI5157VZDA,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8976VDZG,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well3F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI5167QDPO,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS2399UCGA,,Perturb-seq,charles-gersbach:IGVFFI2662OZJM_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D2_S8_L002_R1_001.fastq.gz'.
