configuration_accession,modality,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,stage,reason,message
IGVFFI7432EBKG,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS8473JDSO,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_DNA_day4_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI7450ALAX,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI7462ANFM,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2989BOYC,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_DNA_day6_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI7487VKJS,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7557OHVJ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well3A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI7487XEQV,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1629XGCZ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well3B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI7509WRYI,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8434MDFW,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well1F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI7523LBFP,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI7658RGOV,,"Charles Gersbach, Duke",Ruhi Rai,functional characterization,IGVFDS1645YFQD,,Perturb-seq,charles-gersbach:hPA-Seqspec-perturbseq-10xlane2-CRISPR-L2,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI7695WNFW,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS9654ACTQ,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day16_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI7711EEKL,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7778KDZS,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well2D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI7855NIIA,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2526LKJD,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well3A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI7872SZNH,,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS0668NWBP,single-nucleus ATAC-seq,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp11_atac_10x2_NGS4,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI7872SZNH/@@download/IGVFFI7872SZNH.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI7884QMPS,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS1491XCOB,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day0_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI7894CKVE,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI7921ZHWV,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS9142MSMC,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well2H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI7942WNXM,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI7999QOXH,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS4319JYXA,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI7999QOXH/@@download/IGVFFI7999QOXH.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI8055SOSN,,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS6656GDSH,single-nucleus RNA sequencing assay,10x multiome,,,,seqspec_version,seqspec_version_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI8055SOSN/@@download/IGVFFI8055SOSN.yaml.gz
IGVFFI8251EYOO,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS0362VYYC,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well2G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8277CRZA,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3519ETRU,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well3E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8298RQOX,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS3004XBIY,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_RNA_day21_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI8330JTIN,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS0993OMZM,,Perturb-seq,charles-gersbach:IGVFFI8004NCEQ_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D2_S11_L001_R1_001.fastq.gz'.
IGVFFI8330WPAB,atac,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS8366JHMT,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_1447_seqspec_fixed,0.3.0,0.4.0,enumerate_files,seqspec_file_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI8330WPAB/@@download/IGVFFI8330WPAB.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI8350BZBW,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4804LZAS,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well2A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8353FSZZ,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS8029DSPH,,Perturb-seq,charles-gersbach:IGVFFI0870CDUG_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D1_S7_L001_R2_001.fastq.gz'.
IGVFFI8362UQMW,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4560ZDVD,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well3E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8365YTNW,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS0591VNKJ,,Perturb-seq,charles-gersbach:IGVFFI0728OKBA_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D3_S9_L004_R2_001.fastq.gz'.
IGVFFI8368KFCH,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8110EXVN,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well2A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8378GCTU,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS8306GNFB,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_RNA_day12_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI8455IQYE,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4584PQBB,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well1E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8456GONL,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8228IORM,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well3A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8466RVEO,,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS3329WTDB,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI8466RVEO/@@download/IGVFFI8466RVEO.yaml.gz
IGVFFI8488CSGC,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2885IUWV,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_DNA_day2_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI8566RJAD,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS9108NLTS,,Perturb-seq,charles-gersbach:IGVFFI3262QBRS_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D1_S10_L004_R1_001.fastq.gz'.
IGVFFI8567FDEH,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS8029DSPH,,Perturb-seq,charles-gersbach:IGVFFI7954UIUN_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D1_S7_L002_R1_001.fastq.gz'.
IGVFFI8588TBLL,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1737FCUX,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well3D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8601LOKI,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS9488YMYJ,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_DNA_day8_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI8621VAUJ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3856WXQG,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well2C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8631TETX,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS5387AGUS,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well1E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8677JJGW,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS4218HPCH,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_DNA_day0_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI8695LGIU,atac,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS9711DZFS,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:IGVFFI1118JKQS_seqspec,0.3.0,0.4.0,enumerate_files,seqspec_file_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI8695LGIU/@@download/IGVFFI8695LGIU.yaml.gz
IGVFFI8706AAXI,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI8802ZPCR,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1592LZMI,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well2E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8812PVSA,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4065WPJF,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well1B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8836GAZR,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2370ZRIR,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_DNA_day12_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI8897WKJE,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2106RDJT,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_RNA_day16_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI8927TQAO,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1780GOYH,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well3C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI8965JCYY,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS3935KLZM,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_DNA_day8_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI8969HFVH,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS9742GLOF,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well1D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9055UIQS,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1309MSRX,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well3E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9055WIPG,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS9475ITTY,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well2D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9149ODGV,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1941VFMK,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well3D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9152XKDF,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3316TUAW,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well3C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9156ICRR,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS9557VYYM,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well2H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9196QXOM,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI9214EKMS,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI9219IRFM,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7332AEJZ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well1C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9269AABB,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS8029DSPH,,Perturb-seq,charles-gersbach:IGVFFI1298SMWW_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D1_S7_L004_R2_001.fastq.gz'.
IGVFFI9325MMQB,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8988QSGI,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well1B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9339NAJF,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS0591VNKJ,,Perturb-seq,charles-gersbach:IGVFFI6340QFOL_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D3_S9_L003_R2_001.fastq.gz'.
IGVFFI9340KNCN,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS8920YVYN,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_RNA_day12_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI9372NPWD,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS1567LQJL,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day2_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI9381VSVK,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS6438UZTU,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well3C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9399XUUR,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1011VFXM,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well2C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9419DCNN,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1059AWKS,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well3B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9452DUED,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3935ANJP,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well2B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9468AKBH,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3796FETP,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well1B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9493JZKS,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8235SWFE,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well2G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9524GGME,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7139KSWF,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well3G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9551IXSQ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1113UIBN,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well1A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9579BIBF,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7236VTMA,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well3A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9582AJZK,,"Harinder Singh, University of Pittsburgh",Nicholas Pease,networks,IGVFDS7859EYQR,single-nucleus RNA sequencing assay,10x multiome,harinder-singh:donor1_Bcell_multiome_GEX_NGS_Day0_2_L001_rna_seqspec,,,seqspec_version,seqspec_version_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI9582AJZK/@@download/IGVFFI9582AJZK.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI9584HBMC,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS3325YLRC,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_DNA_day16_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI9618AABQ,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS0085UXQX,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day21_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI9623WLBB,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4056KXSG,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well2E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9659WDVQ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2507HPVV,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well2C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9662WYOI,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI9725VWVJ,rna,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS8821WGCN,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,enumerate_files,seqspec_file_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI9725VWVJ/@@download/IGVFFI9725VWVJ.yaml.gz
IGVFFI9768HNZB,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2903TIJL,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well3F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9773KYEG,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS1266BCGD,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_DNA_day0_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI9774AGJO,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2809UYNF,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_DNA_day18_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI9795MHIX,,"Leif Ludwig, MDC",Ludwig Lab,mapping,IGVFDS4197YTJE,single-cell RNA sequencing assay,mtscMultiome,leif-ludwig:measurement2307513008_scRNA_L001_seqspec,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 56 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI9795MHIX/@@download/IGVFFI9795MHIX.yaml.gz': curl: (56) Recv failure: Connection reset by peer
IGVFFI9817PLEM,,"Hao Wu, UPenn",Hongjie Zhang,networks,IGVFDS9590NKHY,single cell new transcription sequencing,scNT-seq2,hao-wu:scNTseq_donor_312_day1.yaml,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI9817PLEM/@@download/IGVFFI9817PLEM.yaml.gz
IGVFFI9847FYKT,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7135YSKN,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well1F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9858QPXR,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS5752IJZA,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_DNA_day20_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI9901ADFX,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS3396QFZY,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_DNA_day18_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI9917DYFI,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS0703ITVF,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well2F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI9919HDFH,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS3945FAEL,,Perturb-seq,charles-gersbach:IGVFFI2907BHMS_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D3_S12_L004_R1_001.fastq.gz'.
IGVFFI9966EECV,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS9420THEP,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well2D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
