configuration_accession,modality,modality_count,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,requested_reads,requested_reads_total,expected_fastq_count,supplied_fastq_count,controlled_access,report_path,run_status,pass_count,warning_count,error_count,interpretation_count
IGVFFI0491OSSN,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS2954XAKI,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0491OSSN/atac.json,cached,18,2,0,5
IGVFFI0492CIBV,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS8131BLMU,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_9110_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0492CIBV/atac.json,cached,15,6,0,10
IGVFFI0492RFFL,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS1034GEYX,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_1699_seqspec_fixed,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0492RFFL/atac.json,cached,15,5,0,7
IGVFFI0493BWYX,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3569UOEO,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_4075_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0493BWYX/atac.json,cached,15,6,0,10
IGVFFI0493SIJO,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3343IRTP,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_4027_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0493SIJO/atac.json,cached,15,6,0,10
IGVFFI0494DAVT,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS7377BQCK,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0494DAVT/rna.json,cached,14,5,0,3
IGVFFI0496LILI,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS0082OURJ,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0496LILI/atac.json,cached,18,2,0,5
IGVFFI0496YHME,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS4037IYYH,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0496YHME/rna.json,cached,18,3,0,2
IGVFFI0499RSOX,rna,1,"Harinder Singh, University of Pittsburgh",Nicholas Pease,networks,IGVFDS5867EPVA,single-cell RNA sequencing assay,scRNA-seq,harinder-singh:multiplexed_perturbation_scRNAseq_20240212_GEX_NGS_2_LAF7052A9_L003_rna_seqspec,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0499RSOX/rna.json,cached,17,8,0,2
IGVFFI0499TOLA,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS8305QDVA,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_9170_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0499TOLA/atac.json,cached,15,6,0,10
