configuration_accession,modality,modality_count,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,requested_reads,requested_reads_total,expected_fastq_count,supplied_fastq_count,controlled_access,report_path,run_status,pass_count,warning_count,error_count,interpretation_count
IGVFFI0001OUZN,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3777TUPG,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_3953_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0001OUZN/rna.json,cached,16,6,0,10
IGVFFI0002IOXM,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5975CQWW,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0002IOXM/rna.json,cached,14,5,0,3
IGVFFI0004MGTC,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3207ABGV,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_2481_seqspec_fixed,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0004MGTC/atac.json,cached,13,5,0,9
IGVFFI0004QSRS,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS2050YLLS,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0004QSRS/rna.json,cached,14,5,0,3
IGVFFI0007KBCS,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS9127QFKJ,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0007KBCS/rna.json,cached,14,5,0,3
IGVFFI0009HLNF,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS5831VOEM,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_4259_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0009HLNF/atac.json,cached,15,6,0,10
IGVFFI0011QPLN,rna,1,"Leif Ludwig, MDC",Ludwig Lab,mapping,IGVFDS9009JMDG,single-cell RNA sequencing assay,mtscMultiome,leif-ludwig:measurement2303522004_scRNA_L006_seqspec,0.3.0,0.4.0,10000,20000,2,2,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0011QPLN/rna.json,cached,10,1,0,2
IGVFFI0013ATFD,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS5253YWJE,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0013ATFD/rna.json,cached,18,3,0,2
IGVFFI0013RVYT,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS2143YNMR,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_801_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0013RVYT/atac.json,cached,15,6,0,10
IGVFFI0013TLOB,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS8048WSVJ,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_3709_seqspec2,0.3.0,0.4.0,10000,20000,2,2,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0013TLOB/rna.json,cached,14,6,0,8
IGVFFI0013TXLI,crispr,1,"Gary Hon, UT",Mpathi Nzima,functional characterization,IGVFDS8270RCEJ,,Perturb-seq,gary-hon:seqspec_IGVFFI9458TXEE_sgrna,0.3.0,0.4.0,10000,30000,3,3,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0013TXLI/crispr.json,cached,16,9,0,8
IGVFFI0014NULB,rna,1,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8038CIYF,single-cell RNA sequencing assay,Parse SPLiT-seq,maya-kasowski:Parse_P2_scRNA_sublibrary3_lane1_seqspec,0.3.0,0.4.0,10000,20000,2,2,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0014NULB/rna.json,cached,15,5,0,6
IGVFFI0017IFRC,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS2448KDEL,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0017IFRC/rna.json,cached,18,3,0,2
IGVFFI0018QZLQ,rna,1,"Charles Gersbach, Duke",Alejandro Barrera,functional characterization,IGVFDS8880JSIZ,in vitro CRISPR screen using single-cell RNA-seq,Perturb-seq,charles-gersbach:mhc-perturb-seq-npc-p300-expr1-run1-lane1-rna-seqspec-config-file,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0018QZLQ/rna.json,cached,10,1,0,2
IGVFFI0019ARLB,atac,1,"Jimmie Ye, UCSF",Marcus Alvarez,mapping,IGVFDS9305VYML,single-nucleus ATAC-seq,10x multiome,jimmie-ye:seqspec-XX16-SC2_snATAC_S3,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0019ARLB/atac.json,cached,18,2,0,5
IGVFFI0021SKZG,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS8175EHCI,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0021SKZG/atac.json,cached,18,2,0,5
IGVFFI0021UQPA,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5154WDTB,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0021UQPA/rna.json,cached,14,5,0,3
IGVFFI0022EZRQ,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS7841JFNQ,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0022EZRQ/rna.json,cached,18,3,0,2
IGVFFI0024CAXK,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS5508ONPS,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0024CAXK/atac.json,cached,18,2,0,5
IGVFFI0025ETJW,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS3136TLZY,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0025ETJW/rna.json,cached,18,3,0,2
IGVFFI0025JDPU,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS4072OFXV,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0025JDPU/rna.json,cached,19,3,0,5
IGVFFI0031HFRF,rna,1,"Hao Wu, UPenn",Hongjie Zhang,networks,IGVFDS3352MYTG,single cell new transcription sequencing,scNT-seq2,hao-wu:scNTseq_donor_89_day1.yaml,0.3.0,0.4.0,10000,20000,2,2,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0031HFRF/rna.json,cached,8,2,0,3
IGVFFI0033LRIQ,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS0551JWHB,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0033LRIQ/rna.json,cached,18,3,0,2
IGVFFI0037PVCH,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS6570CCTQ,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0037PVCH/rna.json,cached,19,3,0,5
IGVFFI0037YWEJ,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS0506MOGA,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8688_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0037YWEJ/atac.json,cached,15,6,0,10
IGVFFI0038BPXW,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS1872UZFL,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8673_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0038BPXW/atac.json,cached,15,6,0,10
IGVFFI0041ZZQZ,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS3335XDEJ,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0041ZZQZ/rna.json,cached,14,5,0,3
IGVFFI0042CJTP,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS1205RUZB,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0042CJTP/rna.json,cached,18,3,0,2
IGVFFI0042PIGD,atac,1,"Leif Ludwig, MDC",Ludwig Lab,mapping,IGVFDS0611PEHH,single-cell ATAC-seq,mtscMultiome,leif-ludwig:measurement2307528004_scATAC_L005_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0042PIGD/atac.json,cached,14,2,0,4
IGVFFI0043GRDH,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS1725LJAN,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0043GRDH/rna.json,cached,14,5,0,3
IGVFFI0044RXON,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS8657TVHG,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0044RXON/rna.json,cached,14,5,0,3
IGVFFI0045HKPB,rna,1,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS8810QPIN,bulk RNA-seq assay,RNA-seq,jay-shendure:seqspec_of_set_CRISPRa_singlevalidations_neurons_TCF4_rep3,0.3.0,0.4.0,10000,10000,1,1,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0045HKPB/rna.json,cached,5,0,0,1
IGVFFI0046TBCI,rna,1,"Leif Ludwig, MDC",Ludwig Lab,mapping,IGVFDS6479GBTX,single-cell RNA sequencing assay,mtscMultiome,leif-ludwig:measurement2308429016_scRNA_L004_seqspec,0.3.0,0.4.0,10000,20000,2,2,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0046TBCI/rna.json,cached,10,1,0,2
IGVFFI0047LNBR,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS8787HYOO,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0047LNBR/rna.json,cached,14,5,0,3
IGVFFI0048KOPK,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS5101CRBD,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_935_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0048KOPK/atac.json,cached,15,6,0,10
IGVFFI0048LHXP,rna,1,"Jimmie Ye, UCSF",Marcus Alvarez,mapping,IGVFDS6896JPEJ,single-nucleus RNA sequencing assay,10x multiome,jimmie-ye:seqspec-XX2-SC3_snRNA_S2,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0048LHXP/rna.json,cached,19,3,0,5
IGVFFI0050JWUM,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS9017GOUG,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_3983_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0050JWUM/rna.json,cached,16,6,0,10
IGVFFI0052TLZK,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS4230IWLA,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0052TLZK/atac.json,cached,18,2,0,5
IGVFFI0054BSGA,tag,1,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS7173XOSJ,,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp13_multi_10x4_NGS3,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0054BSGA/tag.json,cached,16,4,0,3
IGVFFI0055RDBX,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS0390IOHK,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_9082_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0055RDBX/atac.json,cached,15,6,0,10
IGVFFI0059ARSJ,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS0688NEEC,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0059ARSJ/atac.json,cached,18,2,0,5
IGVFFI0062TAAF,atac,1,"Jimmie Ye, UCSF",Marcus Alvarez,mapping,IGVFDS4300IQOY,single-nucleus ATAC-seq,10x multiome,jimmie-ye:seqspec-XX9-SC4_snATAC_S0,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0062TAAF/atac.json,cached,18,2,0,5
IGVFFI0062UZCJ,rna,1,"Thomas Quertermous, Stanford",Chongyon Park,functional characterization,IGVFDS5635IPLZ,in vitro CRISPR screen using single-cell RNA-seq,TAP-seq,thomas-quertermous:HCASMC2105_dCas9KRABzim3_TAPseq_large_configuration_files_rna_seqspec_10xlane6,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0062UZCJ/rna.json,cached,16,5,0,2
IGVFFI0062YRZI,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS3062SSNR,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0062YRZI/rna.json,cached,14,4,0,4
IGVFFI0062ZJST,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS1279DJVE,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0062ZJST/rna.json,cached,18,3,0,2
IGVFFI0064SNHG,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3629MIXK,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_3912_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0064SNHG/atac.json,cached,15,6,0,10
IGVFFI0065NXNA,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS5556IRJC,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0065NXNA/atac.json,cached,18,2,0,5
IGVFFI0068LGJQ,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS0821GFDR,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0068LGJQ/rna.json,cached,19,3,0,5
IGVFFI0073DIYB,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS0183JRRR,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0073DIYB/atac.json,cached,18,2,0,5
IGVFFI0074OGQD,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS9540QIQR,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_9036_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0074OGQD/atac.json,cached,15,6,0,10
IGVFFI0075ATTP,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5508MKSB,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0075ATTP/rna.json,cached,14,5,0,3
IGVFFI0076QTLJ,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS6834GMBS,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0076QTLJ/rna.json,cached,18,3,0,2
IGVFFI0078XBZI,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS6825AWHP,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0078XBZI/rna.json,cached,14,5,0,3
IGVFFI0079CIAV,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS4771HOQV,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0079CIAV/atac.json,cached,18,2,0,5
IGVFFI0079DVQJ,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS1601YMKN,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_1682_seqspec_fixed,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0079DVQJ/rna.json,cached,14,6,0,8
IGVFFI0079SNAR,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS3360MMYI,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0079SNAR/rna.json,cached,14,5,0,3
IGVFFI0080ARTG,atac,1,"Leif Ludwig, MDC",Ludwig Lab,mapping,IGVFDS4026RHLH,single-cell ATAC-seq,mtscMultiome,leif-ludwig:measurement2307527004_scATAC_L004_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0080ARTG/atac.json,cached,14,2,0,4
IGVFFI0080FZCK,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS7072RBGN,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_4292_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0080FZCK/rna.json,cached,16,6,0,10
IGVFFI0080WVLR,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS7956QADX,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0080WVLR/rna.json,cached,14,5,0,3
IGVFFI0082XZUY,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS5528ZTLH,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0082XZUY/rna.json,cached,11,1,0,5
IGVFFI0084AVQC,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS7741MBJG,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0084AVQC/rna.json,cached,14,5,0,3
IGVFFI0084KIYH,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS1446ZOWN,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8721_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0084KIYH/atac.json,cached,15,6,0,10
IGVFFI0085OIPS,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS0046XBVO,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8512_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0085OIPS/atac.json,cached,15,6,0,10
IGVFFI0088JPYV,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS3051BOLR,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0088JPYV/rna.json,cached,18,3,0,2
IGVFFI0088PIUB,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS3237NGFF,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0088PIUB/rna.json,cached,11,1,0,5
IGVFFI0090YOWP,tag,1,"Charles Gersbach, Duke",Alejandro Barrera,functional characterization,IGVFDS7141AKSR,,Perturb-seq,charles-gersbach:mhc-perturb-seq-ipsc-krab-cmo2-run1-lane1-cmo-seqspec,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0090YOWP/tag.json,cached,16,4,0,9
IGVFFI0091RBYB,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5449NHFC,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0091RBYB/rna.json,cached,14,5,0,3
IGVFFI0092WEBF,atac,1,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS8318UIEY,single-nucleus ATAC-seq,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp11_atac_10x1_NGS1,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0092WEBF/atac.json,cached,18,2,0,5
IGVFFI0092WFXA,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5060SOQF,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0092WFXA/rna.json,cached,14,5,0,3
IGVFFI0096PIWQ,protein,1,"Harinder Singh, University of Pittsburgh",Nicholas Pease,networks,IGVFDS5558ZQDQ,,scRNA-seq,harinder-singh:multiplexed_perturbation_scRNAseq_20231117_FBHTO_NGS_LAF6401A22_L001_protein_seqspec,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0096PIWQ/protein.json,cached,23,10,0,11
IGVFFI0096WRJY,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS0682HDZQ,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0096WRJY/atac.json,cached,18,2,0,5
IGVFFI0099MLYS,rna,1,"Jimmie Ye, UCSF",Marcus Alvarez,mapping,IGVFDS4589AGCD,single-nucleus RNA sequencing assay,10x multiome,jimmie-ye:seqspec-XX20-SC3_snRNA_S1,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0099MLYS/rna.json,cached,19,3,0,5
IGVFFI0099TMRS,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5884HLUD,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0099TMRS/rna.json,cached,14,5,0,3
